,alpha,beta,gamma,tau,scf_cc,nn_scf_cc
0,4.0,0.2,20.0,0.2,0.39239242,0.41259086
1,22.0,0.2,20.0,0.2,0.395533897,0.44431484
2,4.0,0.3,32.0,0.6,3.455332481,3.4479647
3,4.0,0.3,32.0,0.4,2.390217946,2.3884375
4,40.0,0.3,32.0,0.6,3.449859075,3.430775
5,22.0,0.3,32.0,0.4,2.387378133,2.3896666
6,40.0,0.3,32.0,0.4,2.387568526,2.386782
7,22.0,0.3,32.0,0.6,3.44289833,3.439516
8,4.0,0.7,32.0,0.4,2.445449973,2.411762
9,4.0,0.2,32.0,0.4,2.356271692,2.349369
10,40.0,0.2,32.0,0.4,2.358482926,2.348642
11,22.0,0.2,32.0,0.4,2.358362696,2.3592904
12,4.0,0.6,32.0,0.4,2.40208821,2.3866987
13,40.0,0.4,32.0,0.4,2.29178387,2.2814443
14,4.0,0.4,32.0,0.4,2.326347723,2.3094335
15,4.0,0.5,32.0,0.4,2.354693397,2.351767
16,4.0,0.4,32.0,0.6,3.349454138,3.3358037
17,4.0,0.3,26.0,0.4,2.106156441,2.1152148
18,22.0,0.4,32.0,0.4,2.291440223,2.284475
19,4.0,0.5,32.0,0.6,3.327291595,3.3072326
20,22.0,0.4,32.0,0.6,3.31244842,3.2984421
21,40.0,0.4,32.0,0.6,3.312795077,3.309417
22,4.0,0.7,32.0,0.6,3.363825436,3.3121169
23,4.0,0.6,32.0,0.2,1.385034092,1.3824053
24,4.0,0.7,26.0,0.4,2.15956189,2.1263924
25,4.0,0.5,32.0,0.2,1.369030314,1.3576972
26,4.0,0.2,32.0,0.6,3.298283641,3.2937143
27,4.0,0.4,26.0,0.4,2.090021782,2.0733871
28,22.0,0.2,32.0,0.6,3.30001928,3.3100243
29,40.0,0.2,32.0,0.6,3.300092301,3.3105545
30,4.0,0.3,32.0,0.8,4.38959225,4.393909
31,40.0,0.3,26.0,0.4,2.109708898,2.1088035
32,22.0,0.3,26.0,0.4,2.109399544,2.095405
33,4.0,0.5,26.0,0.4,2.085039764,2.076037
34,4.0,0.3,26.0,0.6,3.039503817,3.0186872
35,22.0,0.3,32.0,0.8,4.380848417,4.395121
36,40.0,0.3,32.0,0.8,4.38115304,4.4238143
37,22.0,0.3,26.0,0.6,3.041296426,3.0425658
38,40.0,0.3,26.0,0.6,3.041684818,3.045998
39,40.0,0.4,26.0,0.4,2.075062561,2.0672688
40,22.0,0.4,26.0,0.4,2.074460804,2.0467482
41,4.0,0.4,26.0,0.6,2.977592268,2.9558017
42,4.0,0.6,32.0,0.6,3.327544488,3.3046145
43,4.0,0.3,32.0,0.2,1.288778815,1.323756
44,4.0,0.6,26.0,0.4,2.122090943,2.1014705
45,4.0,0.7,32.0,0.2,1.372788621,1.3955688
46,22.0,0.3,32.0,0.2,1.283959107,1.3038036
47,40.0,0.3,32.0,0.2,1.284045562,1.2906425
48,22.0,0.4,26.0,0.6,2.961152936,2.9569654
49,40.0,0.4,26.0,0.6,2.962034339,2.9548018
50,4.0,0.5,26.0,0.2,1.216153604,1.2023842
51,4.0,0.4,32.0,0.8,4.332918069,4.318079
52,4.0,0.6,26.0,0.2,1.228257246,1.2218263
53,40.0,0.5,32.0,0.4,2.24660024,2.2320337
54,22.0,0.5,32.0,0.6,3.215549397,3.19258
55,40.0,0.5,32.0,0.6,3.215997797,3.19445
56,4.0,0.4,32.0,0.2,1.313393228,1.3197223
57,4.0,0.7,26.0,0.6,2.943303142,2.9083405
58,4.0,0.5,26.0,0.6,2.942046797,2.9087138
59,4.0,0.4,26.0,0.2,1.174234733,1.1764083
60,22.0,0.5,32.0,0.4,2.243198565,2.242624
61,4.0,0.2,26.0,0.4,1.964132601,1.9671415
62,40.0,0.2,26.0,0.4,1.966847447,1.9708211
63,22.0,0.2,26.0,0.4,1.966710104,1.969226
64,22.0,0.4,32.0,0.8,4.285478231,4.2659245
65,40.0,0.4,32.0,0.8,4.286029706,4.2754006
66,4.0,0.3,26.0,0.2,1.159317478,1.1721289
67,22.0,0.5,26.0,0.4,2.016028952,1.9847912
68,40.0,0.5,26.0,0.4,2.017138002,2.0121703
69,4.0,0.7,26.0,0.2,1.238109678,1.2337453
70,40.0,0.3,26.0,0.2,1.160421334,1.188895
71,22.0,0.3,26.0,0.2,1.160318281,1.1306162
72,4.0,0.6,26.0,0.6,2.923839043,2.895489
73,4.0,0.6,20.0,0.2,1.059965471,1.0451819
74,4.0,0.7,32.0,0.8,4.241418188,4.1768756
75,4.0,0.5,32.0,0.8,4.251639783,4.2151194
76,22.0,0.2,32.0,0.2,1.268783076,1.2911028
77,40.0,0.2,32.0,0.2,1.268812507,1.2723559
78,4.0,0.2,32.0,0.2,1.266125065,1.2934674
79,4.0,0.3,20.0,0.4,1.791456316,1.7915992
80,40.0,0.3,20.0,0.4,1.799179083,1.8132676
81,22.0,0.3,20.0,0.4,1.798877729,1.7827082
82,4.0,0.7,20.0,0.4,1.85216076,1.8244973
83,4.0,0.4,20.0,0.4,1.809388866,1.7920852
84,4.0,0.7,20.0,0.2,1.077631603,1.0772505
85,4.0,0.5,20.0,0.4,1.800470333,1.7866036
86,40.0,0.3,20.0,0.2,0.984588993,1.0162952
87,22.0,0.3,20.0,0.2,0.984424694,0.988672
88,4.0,0.6,20.0,0.4,1.833199325,1.8105716
89,40.0,0.2,26.0,0.2,1.093265448,1.0964446
90,22.0,0.2,26.0,0.2,1.09325762,1.0769
91,40.0,0.4,26.0,0.2,1.14574439,1.1033384
92,4.0,0.6,32.0,0.8,4.248077285,4.2050266
93,4.0,0.3,20.0,0.2,0.97905522,0.98341644
94,22.0,0.5,26.0,0.6,2.875076355,2.8549538
95,40.0,0.5,26.0,0.6,2.876679532,2.8564231
96,22.0,0.6,32.0,0.4,2.20624708,2.1927226
97,4.0,0.5,20.0,0.2,1.035445214,1.0289692
98,40.0,0.4,20.0,0.4,1.811143947,1.7995186
99,22.0,0.4,20.0,0.4,1.810329067,1.7901195
100,40.0,0.6,32.0,0.4,2.206900376,2.1830432
101,4.0,0.4,26.0,0.8,3.824600571,3.8096223
102,4.0,0.2,26.0,0.2,1.089920694,1.0858765
103,4.0,0.4,20.0,0.2,1.00345439,0.9997038
104,22.0,0.4,32.0,0.2,1.258856983,1.2460048
105,4.0,0.2,32.0,0.8,3.992173354,3.997187
106,22.0,0.2,32.0,0.8,3.99340701,4.013956
107,40.0,0.2,32.0,0.8,3.99358204,4.039588
108,40.0,0.3,8.0,0.2,0.452311015,0.4873939
109,22.0,0.3,8.0,0.2,0.452125612,0.4765318
110,4.0,0.7,26.0,0.8,3.740403938,3.685274
111,22.0,0.4,26.0,0.8,3.802249295,3.7955062
112,40.0,0.4,26.0,0.8,3.803500784,3.8049505
113,4.0,0.3,8.0,0.2,0.447533599,0.46724105
114,4.0,0.3,26.0,0.8,3.815873411,3.8009248
115,22.0,0.5,32.0,0.2,1.257098451,1.2628733
116,40.0,0.4,20.0,0.2,0.994493959,1.0069268
117,22.0,0.4,20.0,0.2,0.994127515,0.9357646
118,40.0,0.5,32.0,0.2,1.257393494,1.258714
119,4.0,0.5,26.0,0.8,3.760459718,3.7295182
120,22.0,0.7,32.0,0.4,2.166816449,2.1623988
121,40.0,0.7,32.0,0.4,2.1678049,2.147563
122,40.0,0.5,20.0,0.4,1.771016115,1.7680908
123,22.0,0.5,20.0,0.4,1.769564019,1.7597399
124,22.0,0.5,26.0,0.2,1.138019261,1.0785439
125,4.0,0.2,26.0,0.6,2.727668958,2.7275052
126,22.0,0.4,26.0,0.2,0.937052045,1.0683163
127,22.0,0.3,26.0,0.8,3.815432695,3.832679
128,40.0,0.3,26.0,0.8,3.816018268,3.8396819
129,22.0,0.2,26.0,0.6,2.730323745,2.7551455
130,40.0,0.2,26.0,0.6,2.730432725,2.7414875
131,22.0,0.5,32.0,0.8,4.123027937,4.077859
132,40.0,0.5,32.0,0.8,4.123739403,4.0991645
133,4.0,0.4,20.0,0.6,2.501002292,2.5197911
134,22.0,0.6,32.0,0.6,3.108430581,3.0808935
135,40.0,0.6,32.0,0.6,3.10916667,3.0883043
136,4.0,0.3,32.0,1.0,5.274351483,5.286855
137,4.0,0.5,20.0,0.6,2.516175969,2.4928231
138,22.0,0.6,26.0,0.4,1.976304343,1.9470627
139,40.0,0.6,26.0,0.4,1.978142285,1.9686191
140,4.0,0.7,20.0,0.6,2.50338889,2.4666655
141,40.0,0.4,20.0,0.6,2.505251271,2.527742
142,22.0,0.4,20.0,0.6,2.504119924,2.5247493
143,4.0,0.4,32.0,1.0,5.244441791,5.242021
144,4.0,0.7,14.0,0.2,0.875195634,0.88543063
145,22.0,0.6,32.0,0.2,1.246946984,1.2606444
146,40.0,0.3,32.0,1.0,5.261087393,5.2899847
147,40.0,0.6,32.0,0.2,1.247494495,1.2643309
148,22.0,0.3,32.0,1.0,5.259754776,5.2521796
149,22.0,0.2,14.0,0.2,0.619871568,0.6290475
150,40.0,0.2,14.0,0.2,0.619926408,0.65196866
151,40.0,0.2,20.0,0.2,0.874111554,0.8920804
152,4.0,0.2,14.0,0.2,0.618110089,0.6027312
153,4.0,0.5,14.0,0.2,0.835853238,0.8490129
154,4.0,0.6,20.0,0.6,2.503773686,2.4842572
155,40.0,0.4,32.0,0.2,0.956602373,0.9962012
156,4.0,0.6,26.0,0.8,3.721799233,3.7004855
157,4.0,0.3,20.0,0.6,2.473289492,2.4687448
158,4.0,0.4,14.0,0.2,0.815371524,0.8194649
159,22.0,0.3,20.0,0.6,2.480499172,2.4946287
160,40.0,0.3,20.0,0.6,2.480996295,2.492935
161,22.0,0.6,26.0,0.6,2.771501983,2.7491102
162,40.0,0.5,20.0,0.2,0.991694763,0.9320051
163,40.0,0.6,26.0,0.6,2.774149997,2.7579877
164,40.0,0.4,14.0,0.2,0.820768031,0.8292415
165,22.0,0.4,14.0,0.2,0.820382221,0.84137475
166,4.0,0.7,32.0,1.0,5.040631794,4.9593344
167,22.0,0.7,32.0,0.6,3.015796195,2.9960523
168,40.0,0.5,20.0,0.6,2.494181985,2.485927
169,22.0,0.7,26.0,0.4,1.945703117,1.9302734
170,22.0,0.5,20.0,0.6,2.491936423,2.4605763
171,40.0,0.7,26.0,0.4,1.948625444,1.9280331
172,40.0,0.7,32.0,0.6,3.016771064,2.9825249
173,4.0,0.6,14.0,0.2,0.858579421,0.8662647
174,22.0,0.5,26.0,0.8,3.682956693,3.6295793
175,40.0,0.5,26.0,0.8,3.685206391,3.6511853
176,22.0,0.6,26.0,0.2,1.11717291,1.0935025
177,40.0,0.6,26.0,0.2,1.118175171,1.0801481
178,40.0,0.6,20.0,0.4,1.753581118,1.7395867
179,22.0,0.6,20.0,0.4,1.751063077,1.7192295
180,22.0,0.7,32.0,0.2,1.234724435,1.2706646
181,40.0,0.7,32.0,0.2,1.235275856,1.256197
182,22.0,0.4,32.0,1.0,5.180893968,5.1860023
183,40.0,0.4,32.0,1.0,5.181365766,5.1955686
184,40.0,0.5,14.0,0.2,0.827309218,0.84114707
185,22.0,0.5,14.0,0.2,0.826538484,0.8104476
186,4.0,0.5,32.0,1.0,5.098248832,5.0692782
187,22.0,0.3,14.0,0.2,0.762618781,0.78297895
188,40.0,0.3,14.0,0.2,0.762805485,0.782564
189,4.0,0.7,14.0,0.4,1.477257912,1.4593154
190,40.0,0.5,26.0,0.2,0.757913886,0.8632738
191,4.0,0.5,14.0,0.4,1.453186314,1.4443785
192,4.0,0.7,20.0,0.8,3.13239257,3.10609
193,4.0,0.3,14.0,0.2,0.755670254,0.7756282
194,4.0,0.5,20.0,0.8,3.203200716,3.1672435
195,4.0,0.4,14.0,0.4,1.424718602,1.4405948
196,4.0,0.6,20.0,0.8,3.177702859,3.1487627
197,22.0,0.7,26.0,0.2,1.123400385,1.1073637
198,40.0,0.7,26.0,0.2,1.12497775,1.1115263
199,4.0,0.4,20.0,0.8,3.182959435,3.1579251
200,22.0,0.4,14.0,0.4,1.437914462,1.4404745
201,40.0,0.4,14.0,0.4,1.438759557,1.436671
202,4.0,0.2,20.0,0.4,1.549006742,1.5425807
203,22.0,0.6,32.0,0.8,3.992725707,3.935999
204,22.0,0.2,20.0,0.4,1.551629176,1.5307423
205,40.0,0.2,20.0,0.4,1.551749519,1.5676486
206,40.0,0.6,32.0,0.8,3.993548968,3.9431949
207,40.0,0.7,20.0,0.2,1.000099116,0.9787589
208,22.0,0.7,20.0,0.2,0.998061989,0.95668876
209,22.0,0.7,26.0,0.6,2.693164997,2.6719136
210,40.0,0.7,26.0,0.6,2.697362987,2.6752605
211,22.0,0.5,20.0,0.2,0.75397146,0.84865856
212,4.0,0.6,14.0,0.4,1.45969487,1.4521134
213,40.0,0.5,14.0,0.4,1.459992779,1.4598284
214,22.0,0.5,14.0,0.4,1.45839315,1.4440521
215,4.0,0.7,14.0,0.6,1.99417739,1.977415
216,40.0,0.6,20.0,0.6,2.430755805,2.4179194
217,22.0,0.6,20.0,0.6,2.426916321,2.3959017
218,22.0,0.4,20.0,0.8,3.18360289,3.1774366
219,40.0,0.4,20.0,0.8,3.185233905,3.191058
220,4.0,0.4,26.0,1.0,4.52801963,4.5199356
221,4.0,0.5,26.0,1.0,4.514248981,4.48488
222,40.0,0.7,20.0,0.4,1.714533581,1.705155
223,22.0,0.7,20.0,0.4,1.710585748,1.6976595
224,4.0,0.6,32.0,1.0,4.982870367,4.9717917
225,4.0,0.7,26.0,1.0,4.46246215,4.412108
226,4.0,0.2,32.0,1.0,4.502054992,4.541568
227,40.0,0.6,14.0,0.2,0.837240182,0.84907633
228,22.0,0.6,14.0,0.2,0.835892917,0.8213609
229,40.0,0.5,20.0,0.8,3.179284474,3.185796
230,22.0,0.5,20.0,0.8,3.176179731,3.1420238
231,22.0,0.2,32.0,1.0,4.502875511,4.5355306
232,40.0,0.2,32.0,1.0,4.502992371,4.565217
233,4.0,0.6,26.0,1.0,4.483351287,4.427376
234,4.0,0.6,14.0,0.6,2.007904795,1.9819463
235,40.0,0.7,14.0,0.2,0.840927562,0.8598481
236,22.0,0.7,14.0,0.2,0.838776441,0.85730463
237,4.0,0.3,26.0,1.0,4.329340542,4.3570657
238,22.0,0.4,26.0,1.0,4.497215318,4.500277
239,40.0,0.4,26.0,1.0,4.498706271,4.5171075
240,40.0,0.4,8.0,0.2,0.539730712,0.56916946
241,22.0,0.4,8.0,0.2,0.539331475,0.5660572
242,4.0,0.5,14.0,0.6,2.027897357,1.9973568
243,22.0,0.6,26.0,0.8,3.55243626,3.5002651
244,40.0,0.6,26.0,0.8,3.556078727,3.5210443
245,22.0,0.7,32.0,0.8,3.832302243,3.8231964
246,22.0,0.3,26.0,1.0,4.32671849,4.375193
247,40.0,0.3,26.0,1.0,4.32734519,4.3944125
248,40.0,0.7,32.0,0.8,3.833454036,3.8111215
249,4.0,0.3,14.0,0.4,1.313202541,1.3152751
250,40.0,0.3,14.0,0.4,1.321880964,1.3279071
251,22.0,0.3,14.0,0.4,1.321548252,1.3312589
252,4.0,0.4,8.0,0.2,0.52897108,0.5567459
253,22.0,0.5,32.0,1.0,4.941866434,4.9322486
254,40.0,0.5,32.0,1.0,4.942705418,4.932812
255,4.0,0.2,26.0,0.8,3.194078365,3.2137313
256,4.0,0.5,8.0,0.2,0.573998526,0.58722913
257,40.0,0.7,20.0,0.6,2.36187313,2.339515
258,4.0,0.3,20.0,0.8,2.997458083,2.9987485
259,22.0,0.7,20.0,0.6,2.355831083,2.3457406
260,40.0,0.2,26.0,0.8,3.196857705,3.2352474
261,22.0,0.2,26.0,0.8,3.196673466,3.2523072
262,40.0,0.6,14.0,0.4,1.445030037,1.4280505
263,22.0,0.6,14.0,0.4,1.442307562,1.4274169
264,40.0,0.6,20.0,0.2,0.620156128,0.69356143
265,22.0,0.6,20.0,0.2,0.620036971,0.8596252
266,4.0,0.4,14.0,0.6,1.994564575,1.9560922
267,40.0,0.5,8.0,0.2,0.585964978,0.59829324
268,22.0,0.5,8.0,0.2,0.585161761,0.5928618
269,22.0,0.3,20.0,0.8,3.003703742,3.021853
270,40.0,0.3,20.0,0.8,3.004408665,3.0322607
271,22.0,0.7,26.0,0.8,3.450100622,3.4084635
272,40.0,0.5,14.0,0.6,2.043275011,2.0296667
273,22.0,0.5,14.0,0.6,2.040818975,2.0319178
274,4.0,0.7,8.0,0.2,0.602896169,0.6192802
275,4.0,0.6,8.0,0.2,0.584432427,0.59932864
276,40.0,0.4,14.0,0.6,2.011455826,2.013321
277,22.0,0.4,14.0,0.6,2.010220649,2.005557
278,40.0,0.6,20.0,0.8,3.099662188,3.089487
279,22.0,0.6,20.0,0.8,3.094359992,3.0507052
280,22.0,0.5,26.0,1.0,4.419935453,4.3925776
281,40.0,0.5,26.0,1.0,4.422855977,4.4078164
282,40.0,0.6,14.0,0.6,2.00656059,2.0009813
283,22.0,0.6,14.0,0.6,2.002322793,1.9747826
284,4.0,0.7,20.0,1.0,3.73496444,3.7123802
285,40.0,0.7,14.0,0.4,1.428155906,1.4290317
286,22.0,0.7,14.0,0.4,1.423820101,1.419232
287,4.0,0.7,14.0,0.8,2.491284807,2.460658
288,4.0,0.2,20.0,0.6,2.055761513,2.057558
289,22.0,0.2,20.0,0.6,2.058934404,2.048527
290,40.0,0.2,20.0,0.6,2.058992273,2.0536127
291,40.0,0.7,26.0,0.8,3.438424069,3.414086
292,22.0,0.6,8.0,0.2,0.596014677,0.6031443
293,4.0,0.5,20.0,1.0,3.814626199,3.791085
294,4.0,0.6,20.0,1.0,3.803959502,3.7704837
295,4.0,0.6,14.0,0.8,2.490871173,2.4580958
296,40.0,0.7,14.0,0.6,1.961064422,1.9498849
297,22.0,0.7,14.0,0.6,1.954349482,1.9343214
298,4.0,0.7,8.0,0.4,1.044139226,1.0518844
299,40.0,0.7,8.0,0.2,0.619912699,0.6256941
